the MET,The Metropolitian Museum of Art,"1000 5th Ave, New York, NY 10028",https://www.metmuseum.org/,10:30AM-5:30PM,"The Met presents over 5,000 years of art from around the world for everyone to experience and enjoy. The Museum lives in three iconic sites in New York City—The Met Fifth Avenue, The Met Breuer, and The Met Cloisters. Millions of people also take part in The Met experience online. Since it was founded in 1870, The Met has always aspired to be more than a treasury of rare and beautiful objects. Every day, art comes alive in the Museum's galleries and through its exhibitions and events, revealing both new ideas and unexpected connections across time and across cultures.",4,"True, True, False, False, True, False"
MoMA,The Museum of Modern Art,"11 West 53 Street, New York, NY 10019",www.moma.org,10:30AM-5:30PM,"Founded as an educational institution, The Museum of Modern Art (MoMA) is dedicated to being the foremost museum of modern art in the world. MoMA seeks to create a dialogue between the established and the experimental, the past and the present, in an environment that is responsive to the issues of modern and contemporary art, while being accessible to a public ranging from scholars to young children.",1,"False, True, False, True, False, False"
guggenheim,Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128",https://www.guggenheim.org/,9:00AM-4:00PM,"Committed to innovation, the Solomon R. Guggenheim Foundation collects, preserves, and interprets modern and contemporary art, and explores ideas across cultures through dynamic curatorial and educational initiatives and collaborations. With its constellation of architecturally and culturally distinct museums, exhibitions, publications, and digital platforms, the foundation engages both local and global audiences.",3,"True, True, False, True, False, True"
whitney,Whitney Museum of American Art,"99 Gansevoort St, New York, NY 10014",https://whitney.org/,10:00AM-5:00PM,"The Whitney Museum of American Art, known informally as the ""Whitney"", is an art museum in Manhattan. It was founded in 1930 by Gertrude Vanderbilt Whitney, a wealthy and prominent American socialite and art patron after whom it is named. The Whitney focuses on 20th- and 21st-century American art.",2,"True, True, False, False, True, True"
